name	code
cap	cap
skull cap	skp
helm	hlm
full helm	fhl
mask	msk
bone helm	bhm
great helm	ghm
crown	crn
circlet	ci0
coronet	ci1
quilted armor	qui
leather armor	lea
hard leather armor	hla
studded leather	stu
ring mail	rng
scale mail	scl
chain mail	chn
breast plate	crs
splint mail	spl
plate mail	plt
field plate	fld
gothic plate	gth
light plate	ltp
full plate mail	ful
ancient armor	aar
buckler	buc
small shield	sml
large shield	lrg
spiked shield	spk
kite shield	kit
bone shield	bsh
tower shield	tow
gothic shield	gts
leater gloves	lgl
heavy gloves	vgl
chain gloves	mgl
light gauntlets	tgl
gauntlets	hgl
boots	lbt
heavy boots	vbt
chain boots	mbt
light plated boots	tbt
greaves	hbt
sash	lbl
light belt	vbl
belt	mbl
heavy belt	tbl
plated belt	hbl
wolf head	dr1
hawk helm	dr2
antlers	dr3
falcon mask	dr4
spirit mask	dr5
jawbone cap	ba1
fanged helm	ba2
horned helm	ba3
assault helmet	ba4
avenger guard	ba5
targe	pa1
rondache	pa2
heraldic shield	pa3
aerin shield	pa4
crown shield	pa5
preserved head	ne1
zombie head	ne2
unraveller head	ne3
gargoyle head	ne4
demon head	ne5
hand axe	hax
double axe	2ax
military pick	mpi
war axe	wax
large axe	lax
broad axe	bax
battle axe	btx
great axe	gax
giant axe	gix
club	clb
spiked club	spc
mace	mac
morning star	mst
flail	fla
war hammer	whm
maul	mau
great maul	gma
short sword	ssd
scimitar	scm
sabre	sbr
falchion	flc
crystal sword	crs
broad sword	bsd
long sword	lsd
war sword	wsd
two-handed sword	2hs
claymore	clm
giant sword	gis
bastard sword	bsw
flamberge	flb
great sword	gsd
dagger	dgr
dirk	dir
kris	kri
blade	bld
throwing knife	tkf
throwing axe	tax
balanced knife	bkf
balanced axe	bal
javelin	jav
pilum	pil
short spear	ssp
glaive	glv
throwing spear	tsp
spear	spr
trident	tri
brandistock	brn
spetum	spt
pike	pik
bardiche	bar
voulge	vou
scythe	scy
poleaxe	pax
halberd	hal
war scythe	wsc
short bow	sbw
hunter's bow	hbw
long bow	lbw
composite bow	cbw
short battle bow	sbb
long battle bow	lbb
short war bow	swb
long war bow	lwb
light crossbow	lxb
crossbow	mxb
heavy crossbow	hxb
repeating crossbow	rxb
short staff	sst
long staff	lst
gnarled staff	cst
battle staff	bst
war staff	wst
wand	wnd
yew wand	ywn
bone wand	bwn
grim wand	gwn
scepter	scp
grand scepter	gsc
war scepter	wsp
katar	ktr
wrist blade	wrb
hatchet hands	axf
cestus	ces
claws	clw
blade talons	btl
scissors katar	skr
eagle orb	ob1
sacred globe	ob2
smoked sphere	ob3
clasped orb	ob4
jared's stone	ob5
stag bow	am1
reflex bow	am2
maiden spear	am3
maiden pike	am4
maiden javelin	am5
amulet	amu
ring	rin
