Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Save Bits S12	Save Add S12	Save Param Bits S12	*eol
strength	0	1		11			1	0	10			1	1		125	55	1024		7	32	8	100																	67	1	1	ModStr1a	ModStr1a		1	1	1	Moditem2allattrib	Moditem2allattrib		6	8	32		0
energy	1			11			1	0	10			1	1		100	55	1024		7	32	8	100			8			maxmana											61	1	1	ModStr1d	ModStr1d		1	1	1	Moditem2allattrib	Moditem2allattrib			7	32		0
dexterity	2	1		11			1	0	10			1	1		125	55	1024		7	32	8	100																	65	1	1	ModStr1b	ModStr1b		1	1	1	Moditem2allattrib	Moditem2allattrib			7	32		0
vitality	3			11			1	0	10			1	1		100	55	1024		7	32	8	100			9			maxhp	maxstamina										63	1	1	ModStr1c	ModStr1c		1	1	1	Moditem2allattrib	Moditem2allattrib			7	32		0
statpts	4			9			1	0	10								1024																																						0
newskills	5			9			1	0	8								1024																																						0
hitpoints	6			32			1	0	21								1024	8													1	maxhp																							0
maxhp	7			32			1	0	21		1	1	1		56	20	1024	8	8	32	9	100																	59	1	1	ModStr1u	ModStr1u									9	32		0
mana	8			32			1	0	21								1024	8						1							1	maxmana																							0
maxmana	9			32			1	0	21		1	1	0		81	20	1024	8	8	32	9	100																	55	1	1	ModStr1e	ModStr1e									8	32		0
stamina	10			32			1	0	21								1024	8						1							1	maxstamina																							0
maxstamina	11			32			1	0	21		1	1	0		75	20	1024	8	8	32	8	32																	51	1	1	ModStr5d	ModStr5d									8	32		0
level	12			9			1	0	7								1024																																						0
experience	13			32			1	0	32								1024																																						0
gold	14			32			1	0	25								1024																																						0
goldbank	15			32			1	0	25								1024																																						0
item_armor_percent	16		1	11											47	20	1024		9	0	10	100			13			armorclass											74	4	1	Modstr2v	Modstr2v									9	0		0
item_maxdamage_percent	17		1	11											45	20	1024		10	0	11	400			13			maxdamage	secondary_maxdamage	item_throw_maxdamage				1					129	3	0	ModStr2j	ModStr2j									10	0		0
item_mindamage_percent	18		1	11											45	20	1024		10	0	11	400			13			mindamage	secondary_mindamage	item_throw_mindamage				1					130	3	0	ModStr2k	ModStr2k									10	0		0
tohit	19		1	16											15	10	1024		10		10													1					115	1	1	ModStr1h	ModStr1h									10			0
toblock	20		1	10											89	204	1024		6	0	8	100																	134	2	1	ModStr3g	ModStr3g									6	0		0
mindamage	21		1	16											122	25	1024		10	0	11	300												1					127	1	1	ModStr1g	ModStr1g									10	0		0
maxdamage	22		1	16											94	16	1024		10	0	11	300												1					126	1	1	ModStr1f	ModStr1f									10	0		0
secondary_mindamage	23		1	16											97	15	1024		10	0	11	300												1					124	1	1	ModStr1g	ModStr1g									10	0		0
secondary_maxdamage	24		1	16											85	11	1024		10	0	11	300												1					123	1	1	ModStr1f	ModStr1f									10	0		0
damagepercent	25		1	12											45	40	1024		8	0	11	400												1																		8	0		0
manarecovery	26																1024		8	0	9	100																														8	0		0
manarecoverybonus	27		1	16													1024		8	0	8	20																	52	2	2	ModStr4g	ModStr4g									8	0		0
staminarecoverybonus	28		1	16													1024		8	0	8	0																	48	2	2	ModStr3v	ModStr3v									8	0		0
lastexp	29			32													1024																																						0
nextexp	30			32													1024																																						0
armorclass	31		1	16											17	10	1024		10	10	11	300																	71	1	1	ModStr1i	ModStr1i									11	10		0
armorclass_vs_missile	32		1	16											11	5	1024		8	0	10	100																	69	1	1	ModStr6a	ModStr6a									9	0		0
armorclass_vs_hth	33		1	16											13	7	1024		8	0	10	100																	70	1	1	ModStr6b	ModStr6b									8	0		0
normal_damage_reduction	34		1	10											188	200	1024		6	0	6	10																	22	3	2	ModStr2u_PD2	ModStr2u_PD2									6	0		0
magic_damage_reduction	35		1	10											397	340	1024		6	0	6	10																	21	3	2	ModStr2t_PD2	ModStr2t_PD2									6	0		0
damageresist	36		1	9											152	68	1024		8	0	8	50																	22	2	2	ModStr2u_PD2	ModStr2u_PD2									8	0		0
magicresist	37		1	9											164	68	1024		8	0	8	50																	41	4	2	ModStr1m	ModStr1m									8	0		0
maxmagicresist	38		1	9											1091	409	1024		5	0	5	10																	46	4	1	ModStr5x	ModStr5x									5	0		0
fireresist	39		1	9											43	20	1024		8	0	8	50																	36	4	2	ModStr1j	ModStr1j		2	19		strModAllResistances	strModAllResistancesNeg			8	50		0
maxfireresist	40		1	9											584	256	1024		5	0	5	10																	42	4	1	ModStr5u	ModStr5u									5	0		0
lightresist	41		1	9											43	20	1024		8	0	8	50																	38	4	2	ModStr1l	ModStr1l		2	19		strModAllResistances	strModAllResistancesNeg			8	50		0
maxlightresist	42		1	9											584	256	1024		5	0	5	10																	43	4	1	ModStr5w	ModStr5w									5	0		0
coldresist	43		1	9											43	20	1024		8	0	8	50																	40	4	2	ModStr1k	ModStr1k		2	19		strModAllResistances	strModAllResistancesNeg			8	50		0
maxcoldresist	44		1	9											584	256	1024		5	0	5	10																	44	4	1	ModStr5v	ModStr5v									5	0		0
poisonresist	45		1	9											43	20	1024		8	0	8	50																	34	4	2	ModStr1n	ModStr1n		2	19		strModAllResistances	strModAllResistancesNeg			8	50		0
maxpoisonresist	46		1	9											526	256	1024		5	0	5	10																	45	4	1	ModStr5y	ModStr5y									5	0		0
damageaura	47		1	16													1024																																						0
firemindam	48		1	16											11	10	1024		8	0	11	0												1					102	1	1	ModStr1p	ModStr1p									10	0		0
firemaxdam	49		1	16											19	10	1024		8	0	11	0												1					101	1	1	ModStr1o	ModStr1o									10	0		0
lightmindam	50		1	16											12	10	1024		6	0	11	0												1					99	1	1	ModStr1r	ModStr1r									10	0		0
lightmaxdam	51		1	16											17	10	1024		9	0	11	0												1					98	1	1	ModStr1q	ModStr1q									10	0		0
magicmindam	52		1	16											196	20	1024		6	0	11	0												1					104	1	1	strModMagicDamage	strModMagicDamage									10	0		0
magicmaxdam	53		1	16											183	20	1024		7	0	11	0												1					103	1	1	strModMagicDamage	strModMagicDamage									10	0		0
coldmindam	54		1	16											451	512	1024		6	0	11	0												1					96	1	1	ModStr1t	ModStr1t									8	0		0
coldmaxdam	55		1	16											128	340	1024		8	0	11	0												1					95	1	1	ModStr1s	ModStr1s									9	0		0
coldlength	56		1	16											77	4	1024		8	0	8	0												1																		8	0		0
poisonmindam	57		1	24											12	28	1024		14	0	16	0												1					92	1	1	ModStr4i	ModStr4i									14	0		0
poisonmaxdam	58		1	24											11	34	1024		14	0	16	0												1					91	1	1	ModStr4h	ModStr4h									14	0		0
poisonlength	59		1	16											0	4	1024		8	0	9	0												1																		9	0		0
lifedrainmindam	60		1	16											1044	341	1024		7	0	7	0												1					88	2	1	ModStr2z	ModStr2z									7	0		0
lifedrainmaxdam	61		1	16													1024																	1																					0
manadrainmindam	62		1	16											1179	341	1024		7	0	7	0												1					89	2	1	ModStr2y	ModStr2y									7	0		0
manadrainmaxdam	63		1	16													1024																	1																					0
stamdrainmindam	64		1	16													1024																	1																					0
stamdrainmaxdam	65		1	16													1024																	1																					0
stunlength	66			16													1024																	1																					0
velocitypercent	67	1	1	10		1											1024		7	30	8	50																														7	30		0
attackrate	68	1	1	10		1											1024		7	30	8	50												1																		7	30		0
other_animrate	69	1	1	10		1											1024																																						0
quantity	70		1	16													1024																1	1																					0
value	71		1	9													1024		8	100	8	100											1																			8	100		0
durability	72		1	9													1024		8	0	9	0									1	maxdurability	1																			9	0		0
maxdurability	73		1	9											9	4	1024		8	0	8	0											1																			8	0		0
hpregen	74			10											451	410	1024		10	30	10	150																	56	1	2	ModStr2l	ModStr2w									10	30		0
item_maxdurability_percent	75		1	7											117	10	1024		7	20	7	20			13			maxdurability											3	2	2	ModStr2i	ModStr2i									7	20		0
item_maxhp_percent	76		1	16											32093	204	1024		6	10	8	100			11			maxhp											58	2	2	ModStr2g	ModStr2g									6	10		0
item_maxmana_percent	77		1	16											56452	204	1024		6	10	8	100			11			maxmana											54	2	2	ModStr2h	ModStr2h									6	10		0
item_attackertakesdamage	78		1	16							1				112	128	1024		11	0	11	0												1	attackedinmelee	6	hitbymissile	6	13	3	2	ModStr1v	ModStr1v									11	0		0
item_goldbonus	79		1	10											187	34	1024		9	100	9	100																	10	2	1	ModStr1w	ModStr1w									9	100		0
item_magicbonus	80		1	9											577	102	1024		8	100	9	100																	8	2	1	ModStr1x	ModStr1x									8	100		0
item_knockback	81		1	8							1				105	0	1024		7	0	7	0												1	domeleedamage	7	domissiledamage	7	76	3	0	ModStr1y	ModStr1y									7	0		0
item_timeduration	82		1	10													1024		9	20	9	20																														9	20		0
item_addclassskills	83		1	4	4						1				49523	1560	1024		3	0	4	0	4																150	13	1	ModStr3a	ModStr3a									3	0	3	0
unsentparam1	84																1024		3	0																																			0
item_addexperience	85		1	9											36015	519	1024		3	0	9	50																	11	4	1	Moditem2ExpG	Moditem2ExpG									9	50		0
item_healafterkill	86		1	7							1				30	101	1024		3	0	7	0													kill	28			16	1	1	ModitemHPaK	ModitemHPaK									7	0		0
item_reducedprices	87			8											18957	203	1024		3	0	7	20																	8	2	2	ModitemRedVendP	ModitemRedVendP									7	0		0
item_doubleherbduration	88		1	2													1024		1	0	1	0																														1	0		0
item_lightradius	89		1	5							1				15	51	1024		4	4	5	8																	6	1	1	ModStr3f	ModStr3f									4	4		0
item_lightcolor	90		1	24							1				155	0	1024		5	0	24	0																														24	0		0
item_req_percent	91		1	8											26	-34	1024		8	100	8	100																	0	4	2	ModStr3h	ModStr3h									8	100		0
item_levelreq	92																1024		6	20	7																															7			0
item_fasterattackrate	93	1	1	9											1042	156	1024		7	20	8	100												1					145	4	1	ModStr4m	ModStr4m									7	20		0
item_levelreqpct	94																1024		7	20	7	64			13			item_levelreq																								7	64		0
lastblockframe	95																1024		6	20																																			0
item_fastermovevelocity	96	1	1	9											4083	156	1024		7	20	8	100																	148	4	1	ModStr4s	ModStr4s									7	20		0
item_nonclassskill	97		1	8	9						1			1	181	327	1024		7	20	7	0	9																81	28												6	0	9	0
state	98	1		1	8						1				415	64	1024		6	20	1		8																													1		8	0
item_fastergethitrate	99	1	1	9											1065	72	1024		7	20	8	100																	139	4	1	ModStr4p	ModStr4p									7	20		0
monster_playercount	100																1024		7	20																																			0
skill_poison_override_length	101			8													1024		6	20																																			0
item_fasterblockrate	102	1	1	9											1484	72	1024		7	20	8	100																	136	4	1	ModStr4y	ModStr4y									7	20		0
skill_bypass_undead	103			1													1024		7	20																																			0
skill_bypass_demons	104			1													1024		6	20																																			0
item_fastercastrate	105	1	1	9											3876	156	1024		7	20	8	100																	142	4	1	ModStr4v	ModStr4v									7	20		0
skill_bypass_beasts	106			1													1024		7	20																																			0
item_singleskill	107		1	7	9						1			1	181	256	1024		14	0	7	0	9																81	27												3	0	9	0
item_restinpeace	108			1							1				1987	0	1024		14	0	1	0												1	kill	29			81	3	0	ModitemSMRIP	ModitemSMRIP									1	0		0
