Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
																																									0
Sturdy	1	0	1	1	4		3				0	101	ac%		20	30											armo														0
Strong	2	0	1	1	9		6				0	101	ac%		31	40											armo														0
Glorious	3	0	1	1	19		14				0	101	ac%		41	50											armo														0
Blessed	4	0	1	1	25		18				0	101	ac%		51	65											armo														0
Saintly	5	0	1	1	31		23				0	101	ac%		66	80									1	dgld	armo														0
Holy	6	0	1	1	36		27				0	101	ac%		81	100									1	dgld	armo														0
Devious	7	0	1	1	7		5				0	103	red-mag	0	1	1									1	dblu	shld														0
Fortified	8	0	1	1	14		10				0	103	red-mag	0	2	2									1	dblu	shld														0
	9																																								0
	10																																								0
	11																																								0
Jagged	12	0	1	1	1		1				0	106	dmg%	0	10	20											weap														0
Deadly	13	0	1	1	5		3				0	106	dmg%	0	21	30											weap														0
Vicious	14	0	1	1	8		6				0	106	dmg%	0	31	40											weap														0
Brutal	15	0	1	1	14		10				0	106	dmg%	0	41	50											weap														0
Massive	16	0	1	1	20		15				0	106	dmg%	0	51	65									1	dgld	weap														0
Savage	17	0	1	1	26		19				0	106	dmg%	0	66	80									1	dgld	weap							staf	wand						0
Merciless	18	0	1	1	32		24				0	106	dmg%	0	81	100									1	dgld	weap							staf	wand						0
Vulpine	19	0	1	1	9		6				0	107	dmg-to-mana	0	10	10									1	cblu	shld	amul													0
	20																																								0
	21																																								0
	22																																								0
	23																																								0
Tireless	24	0	1	1	14		10				0	109	regen-stam	0	50	50											boot														0
Rugged	25	0	0	1	14		10				0	110	stam	0	5	10											boot	glov	belt	ring	amul										0
Bronze	26	0	1	1	1		1				0	111	att	0	10	20											weap	ring	glov	amul											0
Iron	27	0	1	1	4		3				0	111	att	0	21	40											weap	ring													0
Steel	28	0	1	1	8		6				0	111	att	0	41	60											weap	ring													0
Silver	29	0	1	1	12		9				0	111	att	0	61	80											weap	ring													0
	30																																								0
Gold	31	0	1	1	17		12				0	111	att	0	81	100									1	lgld	weap														0
Platinum	32	0	1	1	22		16				0	111	att	0	101	120									1	lgld	weap	ring													0
Meteoric	33	0	1	1	27		20				0	111	att	0	121	150									1	lgld	weap	ring						staf	wand						0
Sharp	34	0	1	1	5		3				0	112	att	0	10	20	dmg%	0	10	20							weap														0
Fine	35	0	1	1	9		6				0	112	att	0	21	40	dmg%	0	21	30							weap														0
