code	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
ac	1			1	armorclass																													0	0
ac-miss	1			1	armorclass_vs_missile																													1	0
ac-hth	1			1	armorclass_vs_hth																													2	0
red-dmg	1			1	normal_damage_reduction																													3	0
red-dmg%	1			1	damageresist																													4	0
ac%	1			2	item_armor_percent																													5	0
red-mag	1			1	magic_damage_reduction																													6	0
str	1			1	strength																													7	0
dex	1			1	dexterity																													8	0
vit	1			1	vitality																													9	0
enr	1			1	energy																													10	0
mana	1			1	maxmana																													11	0
mana%	1			1	item_maxmana_percent																													12	0
hp	1			1	maxhp																													13	0
hp%	1			1	item_maxhp_percent																													14	0
att	1			1	tohit																													15	0
block	1			1	toblock																													16	0
cold-min	1			1	coldmindam																													17	0
cold-max	1			1	coldmaxdam																													18	0
cold-len	1			1	coldlength																													19	0
fire-min	1			1	firemindam																													20	0
fire-max	1			1	firemaxdam																													21	0
ltng-min	1			1	lightmindam																													22	0
ltng-max	1			1	lightmaxdam																													23	0
pois-min	1			1	poisonmindam																													24	0
pois-max	1			1	poisonmaxdam																													25	0
pois-len	1			1	poisonlength																													26	0
dmg-min	1			5																														27	0
dmg-max	1			6																														28	0
dmg%	1			7																														29	0
dmg-to-mana	1			1	item_damagetomana																													30	0
res-fire	1			1	fireresist																													31	0
res-fire-max	1			1	maxfireresist																													32	0
res-ltng	1			1	lightresist																													33	0
res-ltng-max	1			1	maxlightresist																													34	0
res-cold	1			1	coldresist																													35	0
res-cold-max	1			1	maxcoldresist																													36	0
res-mag	1			1	magicresist																													37	0
res-mag-max	1			1	maxmagicresist																													38	0
res-pois	1			1	poisonresist																													39	0
res-pois-max	1			1	maxpoisonresist																													40	0
res-all	1			1	fireresist			3	lightresist			3	coldresist			3	poisonresist																	41	0
res-all-max	1			1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist																	42	0
abs-fire%	1			1	item_absorbfire_percent																													43	0
abs-fire	1			1	item_absorbfire																													44	0
abs-ltng%	1			1	item_absorblight_percent																													45	0
abs-ltng	1			1	item_absorblight																													46	0
abs-mag%	1			1	item_absorbmagic_percent																													47	0
abs-mag	1			1	item_absorbmagic																													48	0
abs-cold%	1			1	item_absorbcold_percent																													49	0
abs-cold	1			1	item_absorbcold																													50	0
dur	1			1	maxdurability																													51	0
dur%	1			13	item_maxdurability_percent																													52	0
regen	1			1	hpregen																													53	0
thorns	1			1	item_attackertakesdamage																													54	0
swing1	1			8	item_fasterattackrate																													55	0
swing2	1			8	item_fasterattackrate																													56	0
swing3	1			8	item_fasterattackrate																													57	0
gold%	1			1	item_goldbonus																													58	0
mag%	1			1	item_magicbonus																													59	0
knock	1			1	item_knockback																													60	0
regen-stam	1			1	staminarecoverybonus																													61	0
regen-mana	1			1	manarecoverybonus																													62	0
stam	1			1	maxstamina																													63	0
time	1			1	item_timeduration																													64	0
manasteal	1			1	manadrainmindam																													65	0
lifesteal	1			1	lifedrainmindam																													66	0
ama	1		0	21	item_addclassskills																													67	0
pal	1		3	21	item_addclassskills																													68	0
nec	1		2	21	item_addclassskills																													69	0
sor	1		1	21	item_addclassskills																													70	0
bar	1		4	21	item_addclassskills																													71	0
herb	1			1	item_doubleherbduration																													72	0
light	1			1	item_lightradius																													73	0
color	1	1		1	item_lightcolor																													74	0
ease	1			1	item_req_percent																													75	0
move1	1			8	item_fastermovevelocity																													76	0
move2	1			8	item_fastermovevelocity																													77	0
